adduser	3.134
apt	2.6.1
base-files	12.4+deb12u12
base-passwd	3.6.1
bash	5.2.15-2+b9
bsdutils	1:2.38.1-5+deb12u3
ca-certificates	20230311+deb12u1
coreutils	9.1-1
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dpkg	1.21.22
e2fsprogs	1.47.0-2+b2
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu-core	2.37-6
gcc-12-base	12.2.0-14+deb12u1
gpgv	2.2.40-1.1+deb12u1
grep	3.8-5
gzip	1.12-1
hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1
libacl1	2.3.1-3
libapt-pkg6.0	2.6.1
libarchive13	3.6.2-1+deb12u5
libattr1	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1	1:3.0.9-1
libblkid1	2.38.1-5+deb12u3
libbrotli1	1.0.9-2+b6
libbsd0	0.11.7-2
libbz2-1.0	1.0.8-5+b1
libc-bin	2.36-9+deb12u13
libc6	2.36-9+deb12u13
libcairo2	1.16.0-7
libcap-ng0	0.8.3-1+b3
libcap2	1:2.66-4+deb12u2
libcom-err2	1.47.0-2+b2
libcrypt1	1:4.4.33-2
libcurl4	7.88.1-10+deb12u15
libdatrie1	0.2.13-2+b1
libdb5.3	5.3.28+dfsg2-1
libdebconfclient0	0.270
libdeflate0	1.14-1
libexpat1	2.5.0-1+deb12u3
libext2fs2	1.47.0-2+b2
libffi8	3.4.4-1
libfontconfig1	2.14.1-4
libfreetype6	2.12.1+dfsg-5+deb12u4
libfribidi0	1.0.8-2.1
libgcc-s1	12.2.0-14+deb12u1
libgcrypt20	1.10.1-3
libgdbm6	1.23-3
libgif7	5.2.1-2.5+deb12u1
libglib2.0-0	2.74.6-2+deb12u9
libgmp10	2:6.2.1+dfsg1-1.1
libgnutls30	3.7.9-2+deb12u5
libgomp1	12.2.0-14+deb12u1
libgpg-error0	1.46-1
libgraphite2-3	1.3.14-1+deb12u1
libgssapi-krb5-2	1.20.1-2+deb12u5
libharfbuzz0b	6.0.0+dfsg-3
libhogweed6	3.8.1-2
libicu72	72.1-3+deb12u1
libidn2-0	2.3.3-1+b1
libjbig0	2.1-6.1
libjpeg62-turbo	1:2.1.5-2
libk5crypto3	1.20.1-2+deb12u5
libkeyutils1	1.6.3-2
libkrb5-3	1.20.1-2+deb12u5
libkrb5support0	1.20.1-2+deb12u5
liblcms2-2	2.14-2+deb12u1
libldap-2.5-0	2.5.13+dfsg-5
liblept5	1.82.0-3+b3
liblerc4	4.0.0+ds-2
liblz4-1	1.9.4-1
liblzma5	5.4.1-1
libmd0	1.0.4-2
libmount1	2.38.1-5+deb12u3
libncursesw6	6.4-4
libnettle8	3.8.1-2
libnghttp2-14	1.52.0-1+deb12u3
libnspr4	2:4.35-1
libnss3	2:3.87.1-1+deb12u4
libopenjp2-7	2.5.0-2+deb12u3
libp11-kit0	0.24.1-2
libpam-modules	1.5.2-6+deb12u1
libpam-modules-bin	1.5.2-6+deb12u1
libpam-runtime	1.5.2-6+deb12u1
libpam0g	1.5.2-6+deb12u1
libpango-1.0-0	1.50.12+ds-1
libpangocairo-1.0-0	1.50.12+ds-1
libpangoft2-1.0-0	1.50.12+ds-1
libpcre2-8-0	10.42-1
libpixman-1-0	0.42.2-1
libpng16-16	1.6.39-2+deb12u5
libpoppler126	22.12.0-2+deb12u3
libpsl5	0.21.2-1
libreadline8	8.2-1.3
librtmp1	2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2	2.1.28+dfsg-10
libsasl2-modules-db	2.1.28+dfsg-10
libseccomp2	2.5.4-1+deb12u1
libselinux1	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2	3.4-1+b5
libsepol2	3.4-2.1
libsmartcols1	2.38.1-5+deb12u3
libsqlite3-0	3.40.1-2+deb12u2
libss2	1.47.0-2+b2
libssh2-1	1.10.0-3+deb12u1
libssl3	3.0.17-1~deb12u2
libstdc++6	12.2.0-14+deb12u1
libsystemd0	252.39-1~deb12u1
libtasn1-6	4.19.0-2+deb12u1
libtesseract5	5.3.0-2
libthai-data	0.1.29-1
libthai0	0.1.29-1
libtiff6	4.5.0-6+deb12u4
libtinfo6	6.4-4
libudev1	252.39-1~deb12u1
libunistring2	1.0-2
libuuid1	2.38.1-5+deb12u3
libwebp7	1.2.4-0.2+deb12u1
libwebpmux3	1.2.4-0.2+deb12u1
libx11-6	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libxau6	1:1.0.9-1
libxcb-render0	1.15-1
libxcb-shm0	1.15-1
libxcb1	1.15-1
libxdmcp6	1:1.1.2-3
libxext6	2:1.3.4-1+b1
libxml2	2.9.14+dfsg-1.3~deb12u6
libxrender1	1:0.9.10-1.1
libxxhash0	0.8.1-1
libzstd1	1.5.4+dfsg2-5
login	1:4.13+dfsg1-1+deb12u1
logsave	1.47.0-2+b2
mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
netbase	6.4
openssl	3.0.17-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u1
perl-base	5.36.0-7+deb12u3
poppler-utils	22.12.0-2+deb12u3
readline-common	8.2-1.3
sed	4.9-1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tesseract-ocr	5.3.0-2
tesseract-ocr-eng	1:4.1.0-2
tesseract-ocr-osd	1:4.1.0-2
tzdata	2025b-0+deb12u2
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
zlib1g	1:1.2.13.dfsg-1
